Sr. No.,Name of the University,State,CGPA,Grade
71,"SHREE SOMNATH SANSKRIT UNIVERSITY,Shree Somnath Sanskrit University, Rajendra Bhuvan Road, Veraval,
 Dist.- Gir Somnath,Veraval,Gujarat,362266 (First Cycle)",Gujarat,3.42,A+
72,"Sumandeep Vidyapeeth, At and PO-Piparia, Taluka-Waghodia,Vadodara,Gujarat,391760 (Second Cycle)",Gujarat,3.61,A++
73,"TEAMLEASE SKILLS UNIVERSITY,ITC Building, ITI Campus, Tarsali,Vadodara,Gujarat,390009 (First Cycle)",Gujarat,2.01,B
74,"The Maharaja Sayajirao University of Baroda, Vadodara  390002 (Third Cycle)",Gujarat,3.16,A
75,"UKA TARSADIA UNIVERSITY, Maliba Campus, Gopal Vidyanagar, Bardoli-Mahuva Road, Taluka-Mahuva,BARDOLI ,Dist.- Surat-394350 (First Cycle)",Gujarat,2.74,B+
76,"Veer Narmad South Gujarat University, Surat  395007 (Third Cycle)",Gujarat,3.02,A
77,"Maharaja Krishnakumarsinhji Bhavnagar University,Sardar Patel Campus,Bhavnagar - 364001 (Second Cycle)",Gujarat,1.65,C
78,"AMITY UNIVERSITY HARYANA, Amity University Haryana,
 Amity Education Valley,
 Panchgaon,
 Manesar, Gurugram -122413,Gurugram,Haryana,122413 (First Cycle)",Haryana,3.07,A
79,"Central University of Haryana, Mahendragarh  123029 (First Cycle)",Haryana,3.1,A
80,"Chaudhary Devi Lal University, Sirsa  125055 (First Cycle)",Haryana,2.13,B
81,"Deenbandhu Chhotu Ram University of Science and Technology, Murthal, Sonepat  131039 (First Cycle)",Haryana,3.02,A
82,"Guru Jambheshwar University of Science & Technology, Hisar, 125001 Haryana (Third Cycle)",Haryana,3.28,A
83,"Kurukshetra University, Kurukshetra  136119 (Third Cycle)",Haryana,3.52,A+
84,"Lingaya�s University,Faridabad (First Cycle)",Haryana,2.42,B
85,"MAHARISHI MARKANDESHWAR (DEEMED TO BE UNIVERSITY), MULLANA-AMBALA,Maharishi Markandeshwar (Deemed to be University), 
 Ambala-Yamunanagar Highway No. 344, 
 Mullana, District Ambala,MULLANA,Haryana,133207 (Second Cycle)",Haryana,3.53,A++
86,"Maharishi Markandeshwar University, Sadopur, Ambala  134007 (First Cycle)",Haryana,2.01,B
87,"MAHARSHI DAYANAND UNIVERSITY,Haryana , Rohtak , 124001 ,Haryana , Rohtak , 124001 (Third Cycle)",Haryana,3.44,A+
88,"Manav Rachna International University,Faridabad (First Cycle)",Haryana,3.05,A
89,"NATIONAL BRAIN RESEARCH CENTRE,NH -8, NAINWAL ROAD, 
 MANESAR 
 HR-122052,Manesar,Haryana,122052 (First Cycle)",Haryana,2.68,B+
90,"O. P. Jindal Global University, Sonipat  131001 (First Cycle)",Haryana,3.26,A
91,"Pt. B. D. Sharma University of Health Sciences, Rohtak  124001 (First Cycle)",Haryana,3.08,A
92,"The NorthCap University, Gurgaon  122017 (First Cycle)",Haryana,2.72,B
93,"YMCA University of Science and Technology, Faridabad  121006 (First Cycle)",Haryana,3.08,A
